MONTH_REPORTED,DRIVER_START_MONTH,CITY,STATE,ZIP,NUMBER_OF_TRIPS,MULTIPLE_TNPS
2024-08-01,2020-07-01,Woodridge,IL,60517,9,true
2024-08-01,2024-01-01,Bolingbrook,IL,60440,15,false
2024-08-01,2018-04-01,Mundekein,IL,60060,1,true
2024-08-01,2024-06-01,Aurora,IL,60504,261,false
2024-08-01,2023-03-01,Glenview,IL,60025,9,true
2024-08-01,2024-08-01,Chicago,IL,60656,46,false
2024-08-01,2016-05-01,Sacramento,CA,95841,75,true
2024-08-01,2024-03-01,Addison,IL,60101,164,false
2024-08-01,2017-03-01,Streamwood,IL,60107,0,true
2024-08-01,2021-02-01,Chicago,IL,60649,46,false
2024-08-01,2024-05-01,Hilliard,OH,43026,540,false
2024-08-01,2024-05-01,Des Plaines,IL,60016,189,true
2024-08-01,2024-01-01,Chicago,IL,60620,20,false
2024-08-01,2024-06-01,Chicago,IL,60626,24,false
2024-08-01,2024-06-01,Chicago,IL,60626,24,false
2024-08-01,2020-11-01,South Elgin,IL,60177,33,true
2024-08-01,2018-07-01,Stone Mountain,GA,30083,0,false
2024-08-01,2018-05-01,Skokie,IL,60077,244,true
2024-08-01,2023-05-01,Chicago,IL,60629,0,false
2024-08-01,2023-05-01,Chicago,IL,60629,0,false
2024-08-01,2018-07-01,Chicago,IL,60606,0,false
2024-08-01,2018-07-01,Chicago,IL,60606,0,false
2024-08-01,2024-04-01,Gurnee,IL,60031,16,false
2024-08-01,2018-12-01,Hinsdale,IL,60521,152,true
2024-08-01,2018-05-01,Chicago,IL,60653,427,true
2024-08-01,2024-05-01,Chicago,IL,60606,5,false
2024-08-01,2024-05-01,Chicago,IL,60622,42,false
2024-08-01,2023-06-01,Melrose Park,IL,60160,47,false
2024-08-01,2017-05-01,Aurora,IL,60504,0,false
2024-08-01,2024-03-01,Mount Prospect,IL,60056,18,false
2024-08-01,2022-12-01,Hammond,IN,46320,80,true
2024-08-01,2024-04-01,Rolling Meadows,IL,60008,115,true
2024-08-01,2024-04-01,,WA,,138,false
2024-08-01,2024-07-01,Puyallup,WA,98371,245,false
2024-08-01,2019-09-01,Chicago,IL,60653,193,false
2024-08-01,2024-06-01,Chicago,IL,60640,142,false
2024-08-01,2024-06-01,Chicago,IL,60640,142,false
2024-08-01,2023-11-01,Hazel Crest,IL,60429,12,true
2024-08-01,2016-11-01,Chicago,IL,60645,32,false
2024-08-01,2023-06-01,Bellevue,WA,98007,145,true
2024-08-01,2018-05-01,Memphis,TN,38115,5,false
2024-08-01,2024-01-01,Chicago,IL,60617,66,false
2024-08-01,2023-12-01,Markham,IL,60428,109,false
2024-08-01,2024-05-01,Chicago,IL,60639,5,false
2024-08-01,2019-05-01,Morton Grove,IL,60053,53,true
2024-08-01,2024-03-01,Prospect Heights,IL,60070,0,false
2024-08-01,2024-05-01,Beach Park,IL,60083,0,false
2024-08-01,2024-07-01,Hoffman Estates,IL,60169,25,false
2024-08-01,2024-07-01,Rolling Meadows,IL,60008,0,false
2024-08-01,2024-07-01,Rolling Meadows,IL,60008,0,false
2024-08-01,2024-07-01,Rolling Meadows,IL,60008,0,false
2024-08-01,2024-07-01,Rolling Meadows,IL,60008,0,false
2024-08-01,2023-09-01,Lisle,IL,60532,4,false
2024-08-01,2024-03-01,Berwyn,IL,60402,19,false
2024-08-01,2024-05-01,Evanston,IL,60202,215,false
2024-08-01,2019-02-01,Orland Park,IL,60462,125,true
2024-08-01,2024-07-01,Lincolnwood,IL,60712,52,false
2024-08-01,2023-01-01,Addison,IL,60101,5,true
2024-08-01,2024-06-01,Mount Prospect,IL,60056,38,false
2024-08-01,2022-04-01,Chicago,IL,60608,447,true
2024-08-01,2015-08-01,Chicago,IL,60608,50,true
2024-08-01,2024-05-01,Chicago,IL,60626,5,true
2024-08-01,2020-07-01,Huntley,IL,60142,15,false
2024-08-01,2024-01-01,Dekalb,IL,60115,53,false
2024-08-01,2018-10-01,Chicago,IL,60607,434,true
2024-08-01,2022-01-01,Lake Village,IN,46349,13,true
2024-08-01,2019-04-01,Glendale Heights,IL,60139,140,true
2024-08-01,2024-07-01,Hanover Park,IL,60133,131,false
2024-08-01,2023-10-01,Renton,WA,98055,87,false
2024-08-01,2024-06-01,Chicago,IL,60649,144,false
2024-08-01,2018-01-01,Chicago,IL,60645,169,true
2024-08-01,2021-06-01,Niles,IL,60714,580,true
2024-08-01,2023-06-01,Chicago,IL,60615,452,true
2024-08-01,2023-11-01,Sandwich,IL,60548,0,false
2024-08-01,2023-12-01,Skokie,IL,60077,875,true
2024-08-01,2024-07-01,Bourbonnais,IL,60914,1,false
2024-08-01,2017-07-01,Chicago,IL,60619,141,false
2024-08-01,2023-07-01,Bridgeview,IL,60455,1,true
2024-08-01,2022-05-01,Park City,IL,60085,57,false
2024-08-01,2024-07-01,Chicago,IL,60643,215,false
2024-08-01,2023-11-01,Brookfield,IL,60513,146,false
2024-08-01,2024-06-01,Glenwood,IL,60425,39,false
2024-08-01,2024-04-01,Lockport,IL,60441,2,false
2024-08-01,2024-07-01,Chicago,IL,60628,175,false
2024-08-01,2019-03-01,Chicago,IL,60626,302,true
2024-08-01,2024-05-01,Chicago,IL,60607,0,false
2024-08-01,2024-05-01,Chicago,IL,60607,0,false
2024-08-01,2024-05-01,Chicago,IL,60607,0,false
2024-08-01,2024-06-01,Oak Park,IL,60302,218,false
2024-08-01,2022-03-01,Oak Lawn,IL,60453,0,false
2024-08-01,2022-03-01,Oak Lawn,IL,60453,0,false
2024-08-01,2019-05-01,Bolingbrook,IL,60490,11,true
2024-08-01,2023-12-01,Chicago,IL,60606,34,false
2024-08-01,2022-10-01,Streamwood,IL,60107,53,false
2024-08-01,2022-12-01,Chicago,IL,60620,80,true
2024-08-01,2023-11-01,Plainfield,IL,60544,0,true
2024-08-01,2017-06-01,Chicago,IL,60659,500,true
2024-08-01,2024-08-01,Amityville,NY,11701,0,false
2024-08-01,2024-07-01,Glendale Heights,IL,60139,599,false
2024-08-01,2022-12-01,Chicago,IL,60608,90,true
2024-08-01,2024-03-01,Brookfield,IL,60513,84,false
2024-08-01,2024-07-01,Aurora,IL,60503,24,false
2024-08-01,2018-07-01,Maywood,IL,60153,24,false
2024-08-01,2024-06-01,Chicago,IL,60606,144,false
2024-08-01,2020-11-01,,NY,,6,false
2024-08-01,2023-07-01,Indianapolis,IN,46254,67,false
2024-08-01,2019-05-01,Chicago,IL,60659,254,true
2024-08-01,2024-05-01,Arlington Heights,IL,60004,4,false
2024-08-01,2022-07-01,Mundelein,IL,60060,1,true
2024-08-01,2024-08-01,Broadview,IL,60155,178,false
2024-08-01,2023-10-01,,FL,,123,false
2024-08-01,2024-08-01,Riverdale,IL,60827,56,false
2024-08-01,2024-08-01,Riverdale,IL,60827,56,false
2024-08-01,2024-01-01,Fox Lake,IL,60020,363,true
2024-08-01,2024-06-01,Chicago,IL,60606,293,true
2024-08-01,2024-07-01,Blue Island,IL,60406,31,true
2024-08-01,2018-04-01,,IL,,125,true
2024-08-01,2024-02-01,Schaumburg,IL,60193,2,true
2024-08-01,2024-07-01,Des Plaines,IL,60018,0,false
2024-08-01,2024-07-01,Des Plaines,IL,60018,0,false
2024-08-01,2024-07-01,Des Plaines,IL,60018,0,false
2024-08-01,2024-07-01,Des Plaines,IL,60018,0,false
2024-08-01,2024-07-01,Des Plaines,IL,60018,0,false
2024-08-01,2024-07-01,Des Plaines,IL,60018,0,false
2024-08-01,2024-07-01,Des Plaines,IL,60018,0,false
2024-08-01,2024-07-01,Des Plaines,IL,60018,0,false
2024-08-01,2024-03-01,Joliet,IL,60435,7,false
2024-08-01,2015-12-01,Aurora,IL,60505,0,false
2024-08-01,2023-12-01,Chicago,IL,60629,544,false
2024-08-01,2024-01-01,Odessa,TX,79762,132,false
2024-08-01,2024-06-01,Aurora,IL,60506,1,false
2024-08-01,2023-11-01,Romeoville,IL,60446,3,true
2024-08-01,2023-07-01,Hanover Park,IL,60133,74,false
2024-08-01,2024-05-01,Chicago,IL,60619,298,false
2024-08-01,2024-04-01,Cortland,IL,60112,3,false
2024-08-01,2024-06-01,Schaumburg,IL,60173,11,true
2024-08-01,2017-11-01,Chicago,IL,60638,120,false
2024-08-01,2024-03-01,Naperville,IL,60563,44,true
2024-08-01,2020-07-01,Des Plaines,IL,60016,0,false
2024-08-01,2021-10-01,Chicago,IL,60617,4,true
2024-08-01,2020-02-01,Raleigh,NC,27606,10,true
2024-08-01,2024-02-01,Middleport,NY,14105,0,true
2024-08-01,2024-06-01,Chicago,IL,60632,534,false
2024-08-01,2017-03-01,Morton Grove,IL,60053,42,false
2024-08-01,2018-02-01,Des Plaines,IL,60016,139,false
2024-08-01,2024-06-01,Denver,CO,80246,58,false
2024-08-01,2019-04-01,Oak Lawn,IL,60453,159,false
2024-08-01,2024-05-01,Chicago,IL,60623,41,false
2024-08-01,2023-03-01,Des Plaines,IL,60016,28,false
2024-08-01,2017-10-01,Mt Prospect,IL,60056,0,false
2024-08-01,2020-11-01,Chicago,IL,60645,720,true
2024-08-01,2024-06-01,Blue Island,IL,60406,109,false
2024-08-01,2024-06-01,Rockford,IL,61104,0,false
2024-08-01,2024-07-01,Oak Lawn,IL,60553,200,true
2024-08-01,2024-07-01,Chicago,IL,60639,154,false
2024-08-01,2024-06-01,Maywood,IL,60153,19,false
2024-08-01,2024-05-01,Willowbrook,IL,60527,0,false
2024-08-01,2024-05-01,Willowbrook,IL,60527,0,false
2024-08-01,2022-09-01,Grayslake,IL,60030,87,true
2024-08-01,2020-09-01,North Chicago,IL,60064,9,true
2024-08-01,2023-09-01,,WA,,0,true
2024-08-01,2018-05-01,Lansing,IL,60438,0,false
2024-08-01,2018-05-01,Lansing,IL,60438,0,false
2024-08-01,2023-10-01,Chicago,IL,60640,524,true
2024-08-01,2023-11-01,Orlando,FL,32824,34,false
2024-08-01,2024-01-01,Bsmt,IL,33178,187,false
2024-08-01,2023-11-01,Chicago,IL,60619,49,false
2024-08-01,2017-12-01,Dolton,IL,60419,19,false
2024-08-01,2017-06-01,Carpentersville,IL,60110,166,false
2024-08-01,2017-08-01,Pingree Grove,IL,60140,6,false
2024-08-01,2024-05-01,Westmont,IL,60559,4,false
2024-08-01,2019-03-01,Hoffmanestate,IL,60169,99,true
2024-08-01,2024-05-01,Bolingbrook,IL,60440,83,true
2024-08-01,2017-01-01,Chicago,IL,60632,100,false
2024-08-01,2022-10-01,Des Plaines,IL,60018,67,false
2024-08-01,2024-07-01,Hoffman Estates,IL,60169,15,false
2024-08-01,2024-02-01,Chicago,IL,60625,101,false
2024-08-01,2023-03-01,Chicago,IL,60626,88,true
2024-08-01,2024-07-01,Chicago,IL,60649,50,false
2024-08-01,2024-01-01,Chicago,IL,60641,64,false
2024-08-01,2024-01-01,Chicago,IL,60651,355,false
2024-08-01,2021-12-01,,IN,,12,true
2024-08-01,2022-12-01,Cicero,IL,60804,35,false
2024-08-01,2024-06-01,Chicago,IL,60625,72,false
2024-08-01,2024-06-01,Chicago,IL,60625,72,false
2024-08-01,2017-07-01,Chicago,IL,60653,167,false
2024-08-01,2023-12-01,Oak Lawn,IL,60453,32,false
2024-08-01,2024-05-01,Chicago,IL,60640,21,false
2024-08-01,2024-01-01,Berwyn,IL,60402,635,false
2024-08-01,2024-07-01,Seattle,WA,98118,333,false
2024-08-01,2022-05-01,Chicago,IL,60629,10,false
2024-08-01,2023-08-01,Bolingbrook,IL,60490,0,false
2024-08-01,2023-08-01,Bolingbrook,IL,60490,0,false
2024-08-01,2023-08-01,Bolingbrook,IL,60490,0,false
2024-08-01,2019-06-01,Surprise,AZ,85388,0,false
2024-08-01,2015-02-01,Decatur,GA,30032,320,false
2024-08-01,2024-06-01,Beachpark,IL,60087,0,false
2024-08-01,2023-03-01,Deerfield,IL,60016,262,false
2024-08-01,2024-07-01,Waukegan,IL,60085,33,false
2024-08-01,2024-06-01,Chicago,IL,60624,157,false
2024-08-01,2024-06-01,Lansing,IL,60438,18,false
2024-08-01,2024-08-01,Chippewa Falls,WI,54729,24,false
2024-08-01,2023-03-01,Chicago,IL,60608,202,true
2024-08-01,2018-10-01,Chicago,IL,60639,207,true
2024-08-01,2018-03-01,Calumet City,IL,60409,30,false
2024-08-01,2018-06-01,Berwyn,IL,60402,170,false
2024-08-01,2019-06-01,,IN,,1,false
2024-08-01,2016-09-01,Buffalo,NY,14221,213,true
2024-08-01,2024-05-01,Chicago,IL,60645,445,false
2024-08-01,2024-06-01,Bellwood,IL,60104,0,false
2024-08-01,2024-06-01,Bellwood,IL,60104,0,false
2024-08-01,2024-06-01,Bellwood,IL,60104,0,false
2024-08-01,2024-06-01,Bellwood,IL,60104,0,false
2024-08-01,2024-06-01,Bellwood,IL,60104,0,false
2024-08-01,2024-06-01,Bellwood,IL,60104,0,false
2024-08-01,2024-06-01,Bellwood,IL,60104,0,false
2024-08-01,2024-06-01,Bellwood,IL,60104,0,false
2024-08-01,2024-06-01,Bellwood,IL,60104,0,false
2024-08-01,2024-06-01,Chicago,IL,60645,147,false
2024-08-01,2023-06-01,Barrington,IL,60010,96,true
2024-08-01,2014-01-01,,IL,,0,false
2024-08-01,2021-08-01,Chicago,IL,60647,0,false
2024-08-01,2023-12-01,Chicago,IL,60651,0,true
2024-08-01,2023-12-01,Chicago,IL,60651,0,true
2024-08-01,2023-09-01,Chicago Ridge,IL,60415,0,true
2024-08-01,2024-06-01,,IL,,199,false
2024-08-01,2023-08-01,Harwood Heights,IL,60706,205,false
2024-08-01,2024-03-01,Bensenville,IL,60106,0,true
2024-08-01,2023-11-01,Markham,IL,60428,0,false
2024-08-01,2016-02-01,Chicago,IL,60608,0,false
2024-08-01,2021-03-01,Morton Grove,IL,60053,66,false
2024-08-01,2021-06-01,,IN,,3,false
2024-08-01,2018-08-01,Planfield,IL,60586,0,false
2024-08-01,2023-05-01,Hoffman Estates,IL,60169,37,false
2024-08-01,2016-01-01,Glenview,IL,60025,667,true
2024-08-01,2024-06-01,,WA,,285,false
2024-08-01,2017-09-01,Chicago,IL,60645,259,true
2024-08-01,2023-01-01,Evanston,IL,60202,146,true
2024-08-01,2024-01-01,Chicago,IL,60626,275,true
2024-08-01,2023-11-01,Oak Forest,IL,60452,0,false
2024-08-01,2023-11-01,Oak Forest,IL,60452,0,false
2024-08-01,2023-11-01,Oak Forest,IL,60452,0,false
2024-08-01,2016-08-01,Chicago,IL,60639,151,true
2024-08-01,2024-08-01,Chicago,IL,60645,35,false
2024-08-01,2019-05-01,Lombard,IL,60148,0,true
2024-08-01,2021-10-01,Chicago,IL,60606,92,false
2024-08-01,2024-08-01,Chicago,IL,60643,232,false
2024-08-01,2023-06-01,Denver,CO,80205,342,false
2024-08-01,2016-09-01,Chicago,IL,60628,64,false
2024-08-01,2016-12-01,Hoffman Estates,IL,60169,139,true
2024-08-01,2024-02-01,Chicago,IL,60645,91,false
2024-08-01,2018-10-01,Cicero,IL,60804,0,true
2024-08-01,2024-07-01,Chicago,IL,60609,82,false
2024-08-01,2023-08-01,Mount Prospect,IL,60056,0,true
2024-08-01,2024-07-01,Chicago,IL,60625,73,false
2024-08-01,2024-07-01,Schaumburg,IL,60193,110,false
2024-08-01,2020-12-01,Chicago,IL,60609,0,false
2024-08-01,2018-08-01,Chicago,IL,60641,369,false
2024-08-01,2023-07-01,Hammond,IN,46327,0,false
2024-08-01,2024-07-01,Olympia Flds,IL,60461,15,false
2024-08-01,2017-10-01,Chicago,IL,60632,47,true
2024-08-01,2021-11-01,Chicago,IL,60653,0,false
2024-08-01,2023-12-01,,IL,,188,false
2024-08-01,2024-07-01,Chicago,IL,60608,496,false
2024-08-01,2022-11-01,Lockport,IL,60441,0,true
2024-08-01,2023-11-01,Chicago,IL,60632,10,true
2024-08-01,2015-12-01,Skokie,IL,60076,0,false
2024-08-01,2024-07-01,Chicago,IL,60623,140,false
2024-08-01,2024-07-01,Redmond,WA,98052,0,false
2024-08-01,2024-07-01,Redmond,WA,98052,0,false
2024-08-01,2019-12-01,Elk Grove Vlg,IL,60007,8,true
2024-08-01,2021-07-01,Arlington Hts,IL,60004,84,false
2024-08-01,2024-02-01,Bartlett,IL,60103,19,false
2024-08-01,2015-12-01,Chicago,IL,60647,326,true
2024-08-01,2024-02-01,,NY,,4,false
2024-08-01,2024-07-01,Chicago,IL,60606,17,false
2024-08-01,2024-07-01,Chicago,IL,60606,17,false
2024-08-01,2023-12-01,Oak Park,IL,60302,0,false
2024-08-01,2023-06-01,Woodridge,IL,60517,173,false
2024-08-01,2024-07-01,Barrington,IL,60010,0,false
2024-08-01,2023-02-01,Franklin Park,IL,60131,2,false
2024-08-01,2017-02-01,Mount Prospect,IL,60056,3,true
2024-08-01,2024-07-01,Chicago,IL,60636,247,false
2024-08-01,2022-08-01,Evanston,IL,60602,41,false
2024-08-01,2023-03-01,Chicago,IL,60645,298,true
2024-08-01,2023-12-01,Streamwood,IL,60107,101,false
2024-08-01,2022-06-01,Hammond,IN,46324,0,false
2024-08-01,2024-07-01,Chicago,IL,60631,19,false
2024-08-01,2024-06-01,Chicago Heights,IL,60411,0,false
2024-08-01,2024-06-01,Chicago Heights,IL,60411,0,false
2024-08-01,2024-06-01,Chicago Heights,IL,60411,0,false
2024-08-01,2024-06-01,Chicago Heights,IL,60411,0,false
2024-08-01,2023-11-01,Palos Hills,IL,60465,234,false
2024-08-01,2024-03-01,Mount Prospect,IL,60056,6,false
2024-08-01,2023-06-01,Chicago,IL,60645,176,false
2024-08-01,2019-11-01,Streamwood,IL,60107,0,false
2024-08-01,2024-08-01,Wheaton,IL,60187,11,false
2024-08-01,2024-08-01,Bothell,WA,98011,98,false
2024-08-01,2024-08-01,Chicago,IL,60637,88,false
2024-08-01,2017-12-01,Chicago,IL,60637,166,false
2024-08-01,2019-12-01,Chicago,IL,60651,76,false
2024-08-01,2019-06-01,Chicago,IL,60659,81,true
2024-08-01,2024-07-01,Kansas City,MO,64106,0,false
2024-08-01,2022-03-01,Arlington Heights,IL,60005,0,true
2024-08-01,2021-05-01,Melrose Park,IL,60160,371,false
2024-08-01,2024-07-01,Chicago,IL,60643,163,false
2024-08-01,2023-05-01,Bolingbrook,IL,60440,0,false
2024-08-01,2024-02-01,Schaumburg,IL,60194,0,true
2024-08-01,2022-09-01,Chicago,IL,60606,39,false
2024-08-01,2024-03-01,,IA,,0,false
2024-08-01,2024-03-01,,IA,,0,false
2024-08-01,2024-03-01,,IA,,0,false
2024-08-01,2024-03-01,,IA,,0,false
2024-08-01,2017-06-01,Melrose Park,IL,60160,0,false
2024-08-01,2024-06-01,Chicago,IL,60623,58,false
2024-08-01,2018-10-01,Chicago,IL,60634,328,false
2024-08-01,2024-07-01,Streamwood,IL,60107,479,false
2024-08-01,2020-09-01,Wheeling,IL,60090,15,false
2024-08-01,2017-05-01,Arlington Hts,IL,60004,48,true
2024-08-01,2021-10-01,Chicago,IL,60629,120,false
2024-08-01,2020-07-01,Chicago,IL,60625,65,true
2024-08-01,2021-05-01,Bolingbrook,IL,60440,101,true
2024-08-01,2022-06-01,Valparaiso,IN,46385,0,true
2024-08-01,2017-03-01,Chicago,IL,60644,364,true
2024-08-01,2022-08-01,Chicago,IL,60617,3,true
2024-08-01,2019-05-01,Niles,IL,60714,5,true
2024-08-01,2024-08-01,Bridgeview,IL,60455,0,false
2024-08-01,2024-08-01,Bridgeview,IL,60455,0,false
2024-08-01,2024-08-01,Bridgeview,IL,60455,0,false
2024-08-01,2024-08-01,Bridgeview,IL,60455,0,false
2024-08-01,2024-08-01,Bridgeview,IL,60455,0,false
2024-08-01,2024-08-01,Bridgeview,IL,60455,0,false
2024-08-01,2024-08-01,Bridgeview,IL,60455,0,false
2024-08-01,2024-08-01,Bridgeview,IL,60455,0,false
2024-08-01,2024-06-01,Chicago,IL,60617,33,true
2024-08-01,2023-12-01,Plainfield,IL,60585,27,false
2024-08-01,2022-11-01,Chicago,IL,60645,0,false
2024-08-01,2023-09-01,Glendale Heights,IL,60139,71,false
2024-08-01,2024-05-01,Chicago,IL,60641,2,false
2024-08-01,2018-09-01,Chicago,IL,60626,592,true
2024-08-01,2017-09-01,Skokie,IL,60076,80,false
2024-08-01,2024-02-01,Racine,WI,53404,0,true
2024-08-01,2015-10-01,Glenview,IL,60025,258,false
2024-08-01,2024-03-01,Lockport,IL,60441,95,false
2024-08-01,2022-05-01,Chicago,IL,60617,232,false
2024-08-01,2024-03-01,Richton Park,IL,60471,0,false
2024-08-01,2024-03-01,Richton Park,IL,60471,0,false
2024-08-01,2024-06-01,Gary,IN,46404,9,false
2024-08-01,2023-10-01,Hammond,IN,46320,68,false
2024-08-01,2023-09-01,Palatine,IL,60067,34,false
2024-08-01,2022-11-01,Chicago,IL,60634,274,false
2024-08-01,2017-09-01,Chicago,IL,60617,191,true
2024-08-01,2022-03-01,Chicago,IL,60632,99,false
2024-08-01,2024-08-01,Chicago,IL,60645,0,true
2024-08-01,2023-09-01,Bolingbrook,IL,60440,29,false
2024-08-01,2024-01-01,Chicago,IL,60649,183,false
2024-08-01,2024-03-01,Wheeling,IL,60090,0,false
2024-08-01,2024-03-01,Wheeling,IL,60090,0,false
2024-08-01,2024-03-01,Wheeling,IL,60090,0,false
2024-08-01,2024-03-01,Wheeling,IL,60090,0,false
2024-08-01,2024-03-01,Wheeling,IL,60090,0,false
2024-08-01,2024-03-01,Wheeling,IL,60090,0,false
2024-08-01,2024-03-01,Wheeling,IL,60090,0,false
2024-08-01,2024-07-01,Chicago,IL,60660,66,false
2024-08-01,2024-08-01,Naperville,IL,60564,5,false
2024-08-01,2024-03-01,Chicago,IL,60619,202,false
2024-08-01,2024-07-01,Chicago,IL,60645,203,false
2024-08-01,2017-03-01,Elgin,IL,60123,0,false
2024-08-01,2024-05-01,Macomb,MI,48042,0,false
2024-08-01,2024-05-01,Bridgeview,IL,60455,45,true
2024-08-01,2017-01-01,Chicago,IL,60608,307,true
2024-08-01,2021-09-01,Oak Lawn,IL,60453,139,false
2024-08-01,2018-08-01,Elmwood Park,IL,60707,276,false
2024-08-01,2018-02-01,Mt Prospect,IL,60056,63,true
2024-08-01,2024-01-01,Chicago,IL,60634,167,false
2024-08-01,2022-01-01,Chicago,IL,60645,0,true
2024-08-01,2023-12-01,Chicago,IL,60606,0,false
2024-08-01,2023-12-01,Chicago,IL,60606,0,false
2024-08-01,2023-12-01,Chicago,IL,60606,0,false
2024-08-01,2023-12-01,Chicago,IL,60606,0,false
2024-08-01,2023-12-01,Chicago,IL,60606,0,false
2024-08-01,2023-12-01,Chicago,IL,60606,0,false
2024-08-01,2023-12-01,Chicago,IL,60606,0,false
2024-08-01,2020-10-01,Chicago,IL,60606,152,true
2024-08-01,2024-02-01,Chicago,IL,60612,99,false
2024-08-01,2024-05-01,Cicero,IL,60804,26,true
2024-08-01,2024-03-01,Des Plaines,IL,60016,150,false
2024-08-01,2024-08-01,Mount Crawford,VA,22841,0,false
2024-08-01,2022-07-01,Bolingbrook,IL,60440,1,false
2024-08-01,2024-05-01,Fort Wayne,IN,46804,210,false
2024-08-01,2018-07-01,Steger,IL,60475,11,false
2024-08-01,2024-07-01,Chicago,IL,60618,4,false
2024-08-01,2024-04-01,Chicago,IL,60459,0,false
2024-08-01,2023-07-01,Aurora,IL,60502,0,false
2024-08-01,2018-04-01,Chicago,IL,60645,23,false
2024-08-01,2024-07-01,Huntley,IL,60142,0,true
2024-08-01,2023-11-01,Roselle,IL,60172,1,false
2024-08-01,2024-07-01,Plainfield,IL,60586,8,false
2024-08-01,2018-06-01,Skokie,IL,60076,91,true
2024-08-01,2024-06-01,Bellwood,IL,60104,27,false
2024-08-01,2024-01-01,Chicago,IL,60620,69,true
2024-08-01,2019-01-01,Chicago,IL,60619,101,true
2024-08-01,2022-07-01,Schaumburg,IL,60195,130,true
2024-08-01,2023-09-01,Addison,IL,60101,1,false
2024-08-01,2024-01-01,Indianapolis,IN,46224,0,false
2024-08-01,2021-06-01,Chicago,IL,60608,114,true
2024-08-01,2023-06-01,Crystal Lake,IL,60014,0,false
2024-08-01,2024-07-01,Hammond,IN,46320,253,false
2024-08-01,2024-02-01,Glen Ellyn,IL,60137,183,true
2024-08-01,2023-07-01,Chicago,IL,60659,9,false
2024-08-01,2023-10-01,Chicago,IL,60638,133,false
2024-08-01,2024-01-01,,MD,,0,true
2024-08-01,2020-01-01,Chicago,IL,60632,403,false
2024-08-01,2023-12-01,Mt Prospect,IL,60056,0,false
2024-08-01,2024-07-01,Aurora,IL,60504,23,true
2024-08-01,2024-04-01,North Chicago,IL,60064,0,false
